Year,P_INCID_NO,ACTUAL_DTE,PRIMARY_STREET_NUM,PRIMARY_STREET_NAME,PRIMARY_CITY,PRIMARY_STATE_CD,PRIMARY_ZIP_CD,PRIMARY_ADDR_NO,LATITUDE,LONGITUDE,IBR_TYPE,IBR_TYPE_DESC
2017,2017000000040,1/1/2017 1:14:00,379,BRIDLE PATH,Worcester,MA,01604,2003000027730,42.251471,-71.750344,290,Destruction/Damage/Vandalism of Property
2017,2017000000049,1/1/2017 1:32:00,65,WATER ST,Worcester,MA,01604,2003000004455,42.256694,-71.79567,13B,Simple Assault
2017,2017000000049,1/1/2017 1:32:00,65,WATER ST,Worcester,MA,01604,2003000004455,42.256694,-71.79567,290,Destruction/Damage/Vandalism of Property
2017,2017000000049,1/1/2017 1:32:00,65,WATER ST,Worcester,MA,01604,2003000004455,42.256694,-71.79567,90C,Disorderly Conduct
2017,2017000000049,1/1/2017 1:32:00,65,WATER ST,Worcester,MA,01604,2003000004455,42.256694,-71.79567,90J,Trespass of Real Property
2017,2017000000049,1/1/2017 1:32:00,65,WATER ST,Worcester,MA,01604,2003000004455,42.256694,-71.79567,90N,Resisting Arrest
2017,2017000000055,1/1/2017 1:46:00,266,PARK AV,Worcester,MA,01609,2004000008293,42.264062,-71.819481,90C,Disorderly Conduct
2017,2017000000088,1/1/2017 3:10:00,481,LAKE AV,Worcester,MA,01604,2003000008578,42.245214,-71.748167,13A,Aggravated Assault
2017,2017000000088,1/1/2017 3:10:00,481,LAKE AV,Worcester,MA,01604,2003000008578,42.245214,-71.748167,13B,Simple Assault
2017,2017000000089,1/1/2017 3:13:00,605,MILLBURY ST,Worcester,MA,01607,2003000002573,42.240311,-71.800442,100,Kidnapping/Abduction
2017,2017000000089,1/1/2017 3:13:00,605,MILLBURY ST,Worcester,MA,01607,2003000002573,42.240311,-71.800442,13A,Aggravated Assault
2017,2017000000089,1/1/2017 3:13:00,605,MILLBURY ST,Worcester,MA,01607,2003000002573,42.240311,-71.800442,90Z,All Other Offenses
2017,2017000000110,1/1/2017 5:16:00,400,PARK AV,Worcester,MA,01610,2003000020923,42.256713,-71.823464,23C,Shoplifting
2017,2017000000126,1/1/2017 6:28:00,25,BARCLAY ST,Worcester,MA,01604,2003000024116,42.254558,-71.788973,13A,Aggravated Assault
2017,2017000000129,1/1/2017 6:37:00,12,HITCHCOCK RD,Worcester,MA,01603,2003000004228,42.245355,-71.82879,290,Destruction/Damage/Vandalism of Property
2017,2017000000163,1/1/2017 10:14:00,37,WOODFORD ST,Worcester,MA,01604,2004000002175,42.243348,-71.790509,26B,Credit Card/Automatic Teller Fraud
2017,2017000000169,1/1/2017 11:10:00,13,JAQUES AV,Worcester,MA,01610,2001000005353,42.25973,-71.810486,240,Motor Vehicle Theft
2017,2017000000185,1/1/2017 12:46:00,30,SOUTH ST,Worcester,MA,01604,2003000004551,42.250717,-71.790906,23H,All Other Thefts
2017,2017000000212,1/1/2017 14:35:00,119,WEST ST,Worcester,MA,01609,2003000004460,42.270045,-71.808259,220,Burglary/Breaking & Entering
2017,2017000000213,1/1/2017 14:36:00,18,JONES ST,Worcester,MA,01604,2003000015320,42.24744,-71.788696,220,Burglary/Breaking & Entering
2017,2017000000215,1/1/2017 14:45:00,481,LAKE AV,Worcester,MA,01604,2003000008578,42.245214,-71.748167,290,Destruction/Damage/Vandalism of Property
2017,2017000000223,1/1/2017 15:27:00,36,UPSALA ST,Worcester,MA,01610,2002000000665,42.242014,-71.795045,220,Burglary/Breaking & Entering
2017,2017000000223,1/1/2017 15:27:00,36,UPSALA ST,Worcester,MA,01610,2002000000665,42.242014,-71.795045,290,Destruction/Damage/Vandalism of Property
2017,2017000000229,1/1/2017 15:58:00,25,TOBIAS BOLAND WAY,Worcester,MA,01607,2005000007861,42.2333325,-71.7915193,23C,Shoplifting
2017,2017000000230,1/1/2017 16:00:00,5,SHIRLEY ST,Worcester,MA,01610,2004000008594,42.253458,-71.825964,11D,Forcible Fondling
2017,2017000000248,1/1/2017 17:17:00,25,TATTAN FARM RD,Worcester,MA,01605,2013000000950,42.305079,-71.833035,220,Burglary/Breaking & Entering
2017,2017000000286,1/1/2017 20:07:00,24,BEACONSFIELD RD,Worcester,MA,01602,2003000026024,42.279701,-71.847887,13B,Simple Assault
2017,2017000000292,1/1/2017 20:23:00,66,CUTLER ST,Worcester,MA,01604,2003000009146,42.25325,-71.787047,120,Robbery
2017,2017000000321,1/1/2017 22:36:00,529,LINCOLN ST,Worcester,MA,01605,2003000002244,42.294653,-71.77461,23C,Shoplifting
2017,2017000000360,1/2/2017 2:01:00,24,WESTMINSTER ST,Worcester,MA,01605,2001000003501,42.277491,-71.792627,13B,Simple Assault
2017,2017000000361,1/2/2017 2:04:00,500,GRAFTON ST,Worcester,MA,01604,2001000009305,42.250422,-71.779667,120,Robbery
2017,2017000000393,1/2/2017 5:48:00,409,PARK AV,Worcester,MA,01610,2003000024917,42.257408,-71.822834,240,Motor Vehicle Theft
2017,2017000000412,1/2/2017 8:37:00,40,SIGEL ST,Worcester,MA,01610,2003000018601,42.25159,-71.803951,220,Burglary/Breaking & Entering
2017,2017000000412,1/2/2017 8:37:00,40,SIGEL ST,Worcester,MA,01610,2003000018601,42.25159,-71.803951,23F,Theft from Motor Vehicle
2017,2017000000413,1/2/2017 8:47:00,245,MAIN ST,Worcester,MA,01608,2002000000674,42.267146,-71.800822,23F,Theft from Motor Vehicle
2017,2017000000432,1/2/2017 10:25:00,107,WARD ST,WORCESTER,MA,01600,,,,35A,Drug/Narcotic Violations
2017,2017000000445,1/2/2017 11:24:00,43,VALLEY VIEW LN,Worcester,MA,01604,2003000003791,42.243295,-71.768589,13B,Simple Assault
2017,2017000000456,1/2/2017 11:56:00,501,PLANTATION ST,Worcester,MA,01605,2002000000687,42.284725,-71.762347,23G,Theft of Motor Vehicle Parts
2017,2017000000456,1/2/2017 11:56:00,501,PLANTATION ST,Worcester,MA,01605,2002000000687,42.284725,-71.762347,290,Destruction/Damage/Vandalism of Property
2017,2017000000458,1/2/2017 11:58:00,143,PLEASANT ST,Worcester,MA,01609,2003000000784,42.263798,-71.804796,120,Robbery
2017,2017000000459,1/2/2017 11:59:00,4,NYLAND ST,Worcester,MA,01607,2007000002598,42.224337,-71.78097,220,Burglary/Breaking & Entering
2017,2017000000464,1/2/2017 12:13:00,48,FREELAND ST,Worcester,MA,01603,2002000001049,42.244597,-71.825014,23F,Theft from Motor Vehicle
2017,2017000000468,1/2/2017 12:34:00,481,LINCOLN ST,Worcester,MA,01605,2003000002109,42.293241,-71.777481,23C,Shoplifting
2017,2017000000469,1/2/2017 12:36:00,545,LINCOLN ST,Worcester,MA,01605,2003000010333,42.29456,-71.772091,23F,Theft from Motor Vehicle
2017,2017000000471,1/2/2017 12:49:00,195,PLEASANT ST,Worcester,MA,01609,2003000012731,42.263982,-71.808998,270,Embezzlement
2017,2017000000476,1/2/2017 13:14:00,25,TOBIAS BOLAND WAY,Worcester,MA,01607,2005000007861,42.2333325,-71.7915193,23C,Shoplifting
2017,2017000000480,1/2/2017 13:18:00,11,COLUMBUS ST,Worcester,MA,01603,2003000009165,42.252775,-71.833565,240,Motor Vehicle Theft
2017,2017000000516,1/2/2017 15:34:00,338,GRANITE ST,Worcester,MA,01604,2003000013882,42.228602,-71.782203,220,Burglary/Breaking & Entering
2017,2017000000516,1/2/2017 15:34:00,338,GRANITE ST,Worcester,MA,01604,2003000013882,42.228602,-71.782203,280,Stolen Property Offenses
2017,2017000000523,1/2/2017 15:50:00,529,LINCOLN ST,Worcester,MA,01605,2003000002244,42.294653,-71.77461,23C,Shoplifting
2017,2017000000527,1/2/2017 16:08:00,344,GREENWOOD ST,WORCESTER,MA,01607,2001000007614,42.21378,-71.79688,23C,Shoplifting
2017,2017000000564,1/2/2017 18:22:00,22,ESKOW RD,Worcester,MA,01604,2003000006745,42.230363,-71.758516,13B,Simple Assault
2017,2017000000566,1/2/2017 18:27:00,344,GREENWOOD ST,Worcester,MA,01607,2001000007614,42.21378,-71.79688,23C,Shoplifting
2017,2017000000572,1/2/2017 18:46:00,19,FIFTH AV,Worcester,MA,01607,2003000024006,42.241836,-71.799824,13A,Aggravated Assault
2017,2017000000572,1/2/2017 18:46:00,19,FIFTH AV,Worcester,MA,01607,2003000024006,42.241836,-71.799824,220,Burglary/Breaking & Entering
2017,2017000000612,1/2/2017 21:52:00,25,TOBIAS BOLAND WAY,Worcester,MA,01607,2005000007861,42.2333325,-71.7915193,23C,Shoplifting
2017,2017000000634,1/3/2017 0:00:00,9,ENFIELD ST,Worcester,MA,01602,2003000006939,42.255533,-71.825642,13A,Aggravated Assault
