Year,P_INCID_NO,ACTUAL_DTE,PRIMARY_STREET_NUM,PRIMARY_STREET_NAME,PRIMARY_CITY,PRIMARY_STATE_CD,PRIMARY_ZIP_CD,PRIMARY_ADDR_NO,LATITUDE,LONGITUDE,IBR_TYPE,IBR_TYPE_DESC
2012,2012000000009,1/1/2012 0:31:00,16,CRYSTAL ST,Worcester,MA,01603,2003000013139,42.247641,-71.822967,220,Burglary/Breaking & Entering
2012,2012000000011,1/1/2012 0:44:00,261,MAIN ST,Worcester,MA,01608,2002000000768,42.266744,-71.800812,35A,Drug/Narcotic Violations
2012,2012000000011,1/1/2012 0:44:00,261,MAIN ST,Worcester,MA,01608,2002000000768,42.266744,-71.800812,90N,Resisting Arrest
2012,2012000000013,1/1/2012 0:44:00,6,ASHTON ST,Worcester,MA,01605,2003000011061,42.282121,-71.790956,13A,Aggravated Assault
2012,2012000000014,1/1/2012 0:47:00,261,MAIN ST,Worcester,MA,01608,2002000000768,42.266744,-71.800812,90J,Trespass of Real Property
2012,2012000000024,1/1/2012 1:21:00,1241,MAIN ST,Worcester,MA,01603,2003000000745,42.242338,-71.842343,220,Burglary/Breaking & Entering
2012,2012000000025,1/1/2012 1:24:00,18,HARLOW ST,Worcester,MA,01605,2003000002154,42.283905,-71.794224,13B,Simple Assault
2012,2012000000037,1/1/2012 1:40:00,73,Central St E,Worcester,MA,01605,2003000003955,42.264607,-71.790832,13B,Simple Assault
2012,2012000000046,1/1/2012 1:57:00,377,PARK AV,Worcester,MA,01610,2003000002982,42.258629,-71.822041,13B,Simple Assault
2012,2012000000046,1/1/2012 1:57:00,377,PARK AV,Worcester,MA,01610,2003000002982,42.258629,-71.822041,90C,Disorderly Conduct
2012,2012000000046,1/1/2012 1:57:00,377,PARK AV,Worcester,MA,01610,2003000002982,42.258629,-71.822041,90N,Resisting Arrest
2012,2012000000051,1/1/2012 2:09:00,34,IRVING ST,Worcester,MA,01609,2003000013128,42.26169,-71.806689,220,Burglary/Breaking & Entering
2012,2012000000051,1/1/2012 2:09:00,34,IRVING ST,Worcester,MA,01609,2003000013128,42.26169,-71.806689,90J,Trespass of Real Property
2012,2012000000051,1/1/2012 2:09:00,34,IRVING ST,Worcester,MA,01609,2003000013128,42.26169,-71.806689,90Z,All Other Offenses
2012,2012000000053,1/1/2012 2:10:00,261,MAIN ST,Worcester,MA,01608,2002000000768,42.266744,-71.800812,90J,Trespass of Real Property
2012,2012000000053,1/1/2012 2:10:00,261,MAIN ST,Worcester,MA,01608,2002000000768,42.266744,-71.800812,90C,Disorderly Conduct
2012,2012000000058,1/1/2012 2:22:00,2,MAY ST,Worcester,MA,01610,2003000003509,42.254674,-71.814459,90C,Disorderly Conduct
2012,2012000000076,1/1/2012 2:55:00,66,PROVIDENCE ST,Worcester,MA,01604,2003000009569,42.253866,-71.793001,13B,Simple Assault
2012,2012000000076,1/1/2012 2:55:00,66,PROVIDENCE ST,Worcester,MA,01604,2003000009569,42.253866,-71.793001,90C,Disorderly Conduct
2012,2012000000076,1/1/2012 2:55:00,66,PROVIDENCE ST,Worcester,MA,01604,2003000009569,42.253866,-71.793001,90Z,All Other Offenses
2012,2012000000076,1/1/2012 2:55:00,66,PROVIDENCE ST,Worcester,MA,01604,2003000009569,42.253866,-71.793001,90N,Resisting Arrest
2012,2012000000103,1/1/2012 4:14:00,34,IRVING ST,Worcester,MA,01609,2003000013128,42.26169,-71.806689,13B,Simple Assault
2012,2012000000115,1/1/2012 4:24:00,19,CHANDLER ST,Worcester,MA,01609,2003000001412,42.260039,-71.806062,240,Motor Vehicle Theft
